Data,433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal,3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$,4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões),4469 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governo Federal - R$ (milhões),4470 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Banco Central - R$ (milhões),4472 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos estaduais - R$ (milhões),4473 - Dívida Líquida do Setor Público - Saldos em R$ milhões - Total - Governos municipais - R$ (milhões),13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões),13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008 - %,"13763 - Dívida bruta do governo geral - Saldos em US$ milhões - Metodologia utilizada a partir de 2008 - US$ (milhões),,,,,,,,,,",4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.,"4390 - Taxa de juros - Selic acumulada no mês - % a.m.,,","29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %,"
04/2013,"0,55 ","2,0011 ","446.508,1 ","1.112.520,53 ","-61.071,75 ","443.679,91 ","78.830,27 ","2.682.330,01 ","53,78 ","1.340.427,77","7,26 ","0,61","38,25"
05/2013,"0,37 ","2,1314 ","441.321,9 ","1.091.595,21 ","-64.714,89 ","447.137,87 ","79.535,61 ","2.710.764,58 ","53,92 ","1.271.823,49","7,42 ","0,60","38,38"
06/2013,"0,26 ","2,2150 ","434.750,0 ","1.087.256,07 ","-66.732,45 ","448.988,71 ","80.800,47 ","2.715.918,70 ","53,61 ","1.226.148,40","7,90 ","0,61","38,37"
07/2013,"0,03 ","2,2897 ","452.593,1 ","1.074.798,85 ","-70.932,15 ","457.354,65 ","82.132,27 ","2.744.022,88 ","53,70 ","1.198.420,26","8,23 ","0,72","38,54"
08/2013,"0,24 ","2,3719 ","453.785,4 ","1.070.029,33 ","-73.189,15 ","462.071,96 ","83.101,76 ","2.749.278,71 ","53,44 ","1.159.103,97","8,45 ","0,71","38,66"
09/2013,"0,35 ","2,2294 ","447.755,7 ","1.111.910,25 ","-52.225,71 ","461.635,75 ","83.350,59 ","2.747.899,58 ","52,95 ","1.232.573,60","8,90 ","0,71","38,46"
10/2013,"0,57 ","2,2020 ","475.721,2 ","1.129.924,31 ","-59.063,19 ","468.967,88 ","84.263,93 ","2.779.361,47 ","53,10 ","1.262.198,67","9,25 ","0,81","38,35"
11/2013,"0,54 ","2,3243 ","470.316,2 ","1.086.565,72 ","-64.912,53 ","475.488,34 ","85.788,57 ","2.783.266,92 ","52,73 ","1.197.464,58","9,45 ","0,72","38,37"
12/2013,"0,92 ","2,3420 ","467.253,8 ","1.090.393,26 ","-65.035,47 ","483.257,38 ","86.536,38 ","2.747.996,71 ","51,54 ","1.173.354,70","9,90 ","0,79","38,36"
01/2014,"0,55 ","2,4257 ","453.273,1 ","1.079.746,73 ","-69.338,40 ","484.449,56 ","86.754,96 ","2.829.599,14 ","52,63 ","1.166.508,28","10,17 ","0,85","38,36"
02/2014,"0,69 ","2,3327 ","455.504,9 ","1.118.690,91 ","-68.829,92 ","482.146,27 ","86.011,33 ","2.816.714,17 ","51,84 ","1.207.490,96","10,43 ","0,79","38,29"
03/2014,"0,92 ","2,2624 ","477.203,1 ","1.133.663,12 ","-52.579,92 ","486.243,52 ","86.738,05 ","2.835.759,16 ","51,79 ","1.253.429,61","10,65 ","0,77","38,18"
04/2014,"0,67 ","2,2354 ","479.730,3 ","1.134.444,21 ","-53.045,33 ","494.711,09 ","87.737,30 ","2.865.058,28 ","52,00 ","1.281.675,89","10,87 ","0,82","38,17"
05/2014,"0,46 ","2,2384 ","481.273,6 ","1.163.040,72 ","-57.380,79 ","498.800,10 ","88.988,84 ","2.895.819,41 ","52,18 ","1.293.700,59","10,90 ","0,87","38,34"
06/2014,"0,40 ","2,2019 ","461.317,9 ","1.192.936,90 ","-56.652,88 ","498.493,35 ","88.312,64 ","2.941.138,57 ","52,75 ","1.335.727,59","10,90 ","0,82","38,52"
07/2014,"0,01 ","2,2668 ","486.870,2 ","1.209.179,80 ","-59.878,99 ","502.090,76 ","88.408,87 ","2.983.108,33 ","53,17 ","1.315.999,79","10,90 ","0,95","38,61"
08/2014,"0,25 ","2,2390 ","483.776,6 ","1.246.139,44 ","-59.279,94 ","503.814,59 ","88.378,55 ","3.034.679,53 ","53,81 ","1.355.372,72","10,90 ","0,87","38,68"
09/2014,"0,57 ","2,4504 ","491.478,6 ","1.245.574,94 ","-63.128,72 ","515.751,10 ","88.954,02 ","3.132.133,12 ","55,11 ","1.278.212,99","10,90 ","0,91","38,78"
10/2014,"0,42 ","2,4436 ","509.092,1 ","1.270.256,76 ","-72.845,54 ","519.551,47 ","88.802,67 ","3.168.712,96 ","55,43 ","1.296.739,63","10,92 ","0,95","39,0"
11/2014,"0,51 ","2,5595 ","498.553,1 ","1.271.354,06 ","-78.681,43 ","529.054,06 ","90.679,12 ","3.217.851,37 ","56,01 ","1.257.218,74","11,15 ","0,84","39,1"
12/2014,"0,78 ","2,6556 ","500.879,4 ","1.272.707,44 ","-72.027,86 ","551.199,20 ","91.866,43 ","3.252.448,55 ","56,28 ","1.224.750,92","11,58 ","0,96","39,29"
01/2015,"1,24 ","2,6617 ","474.633,2 ","1.296.392,75 ","-88.990,83 ","546.403,72 ","91.472,44 ","3.315.324,38 ","57,16 ","1.245.566,51","11,82 ","0,94","39,64"
02/2015,"1,22 ","2,8777 ","467.010,8 ","1.280.795,88 ","-91.687,69 ","553.748,78 ","92.742,96 ","3.386.880,84 ","58,28 ","1.176.940,21","12,15 ","0,82","39,64"
03/2015,"1,32 ","3,2074 ","515.014,7 ","1.255.235,71 ","-114.922,83 ","570.166,59 ","94.329,97 ","3.480.229,29 ","59,49 ","1.085.062,45","12,58 ","1,4","39,74"
04/2015,"0,71 ","2,9930 ","497.149,8 ","1.307.305,17 ","-116.890,92 ","569.952,93 ","94.910,91 ","3.468.109,37 ","59,11 ","1.158.740,18","12,68 ","0,95","40,3"
05/2015,"0,74 ","3,1781 ","492.262,5 ","1.307.041,55 ","-123.772,73 ","580.533,96 ","96.553,81 ","3.538.708,31 ","60,20 ","1.113.466,63","13,15 ","0,99","40,5"
06/2015,"0,79 ","3,1019 ","490.557,5 ","1.353.481,53 ","-115.124,27 ","582.658,63 ","97.435,39 ","3.588.440,40 ","60,75 ","1.156.852,38","13,58 ","1,7","40,13"
07/2015,"0,62 ","3,3934 ","507.287,8 ","1.343.208,65 ","-139.075,13 ","600.143,72 ","99.946,16 ","3.684.950,96 ","62,16 ","1.085.917,6","13,69 ","1,18","40,42"
08/2015,"0,22 ","3,6461 ","501.272,7 ","1.318.563,81 ","-152.012,09 ","613.403,69 ","102.306,64 ","3.743.680,99 ","62,97 ","1.026.763,11","14,15 ","1,11","40,61"
09/2015,"0,54 ","3,9722 ","499.667,8 ","1.297.564,09 ","-173.509,39 ","627.455,25 ","104.591,39 ","3.789.051,79 ","63,65 ","953.892,50","14,15 ","1,11","40,84"
10/2015,"0,82 ","3,8582 ","521.343,0 ","1.355.761,60 ","-172.389,93 ","632.983,24 ","106.124,80 ","3.813.936,88 ","63,93 ","988.527,52","14,15 ","1,11","40,87"
11/2015,"1,01 ","3,8499 ","514.153,5 ","1.411.361,66 ","-184.009,23 ","641.651,87 ","107.865,81 ","3.844.680,88 ","64,28 ","998.644,35","14,15 ","1,6","40,60"
12/2015,"0,96 ","3,9042 ","515.433,7 ","1.500.582,44 ","-187.620,71 ","660.099,49 ","111.535,25 ","3.927.523,06 ","65,50 ","1.005.973,84","14,15 ","1,16","40,9"
01/2016,"1,27 ","4,0422 ","482.478,1 ","1.511.508,48 ","-219.477,32 ","663.717,09 ","111.562,82 ","3.992.779,14 ","66,51 ","987.773,77","14,15 ","1,6","40,6"
